tweets,class,gpt run no. 1,gpt run no. 2,gpt run no. 3,gpt run no. 4,gpt run no. 5,gpt run no. 6,gpt run no. 7,gpt run no. 8,gpt run no. 9,gpt run no. 10
no one ever predicted this was going to happen. https://t.co/eeJsozDYKc,1,0,0,0,0,0,0,0,0,0,0
wonderful time with customer service @TMobile  can't add line w loyalty plan. Rep couldn't even explain data plan options to me,1,1,1,1,1,1,1,1,1,1,1
So last month I lost my job and today my dad lost his. 2015 is such a great year...,1,1,1,1,1,1,1,1,1,1,1
And the heel on my @katespadeny shoe just broke. I love when I buy expensive shoes and they don't last,1,1,1,1,1,1,1,1,1,1,1
This girl can't wait to shop on Michigan Ave.,1,0,0,0,0,0,0,0,0,0,0
"@theandyboyd You say, via twitter.",1,0,0,0,1,0,0,0,0,0,0
I just love getting anxiety at random times. Its fun!,1,1,1,1,1,1,1,1,1,1,1
"@sexysportsfan Pretty sure I was hating on ESPN, but whatever. You sure showed me! It burns! It burns!",1,1,1,1,1,1,1,1,1,1,1
It's really great that pointless feuding between celebs gets more attention than things that actually matter.,1,1,1,1,1,1,1,1,1,1,1
@roseperson @picardonhealth @RawStory because a well armed surfer could have shot that shark!! ,1,1,1,1,1,1,1,1,1,1,1
Trying to figure out how to get to AMS for Sail Amsterdam. Ticket prices are ONLY $1500,1,1,1,1,1,1,1,1,1,1,1
@SportsCenter HURR HURR kitchen jokes are so funny!,1,1,1,1,1,1,1,1,1,1,1
@DeLaCruzPhotog lol how dumb are you? You tweet me saying stop stalking,1,1,1,1,1,1,1,1,1,0,1
I love it when the power goes out while filling out a job application online. Ugh...😐😑,1,1,1,1,1,1,1,1,1,1,1
Baby has her first runny nose.  Yay...,1,1,1,1,1,1,1,1,1,1,1
Well today is going fan-fucking-tactic so far,1,1,1,1,1,1,1,1,1,1,1
"The only thing you could really do at 18 is drive people around, sign legal papers, and go to clubs lol. How exciting.",1,1,1,1,1,1,1,1,1,1,1
always nice when people ignore admins.,1,1,1,1,1,1,1,0,1,1,1
So pleased with managment support,1,0,0,0,0,0,0,0,0,0,0
"#Pixels is apparently one of the worst movies of the year so far. How surprising, a movie with Adam Sandler &amp; Kevin James is awful.",1,1,1,1,1,1,1,1,1,1,1
"@GuildWars2_DE Also yeah great, more tank attunement gameplay. Everyone LOVES the Fire/Staff build...",1,1,1,1,1,1,1,1,1,1,1
And it rains.... and we're going camping tomorrow!,1,1,1,1,1,1,1,1,1,1,1
Glad to see that production isn't bending the rules AT ALL for,1,1,1,1,1,1,1,1,1,1,1
So many good things are happening to me right now that I just feel like crying!,1,0,1,1,1,1,0,1,1,1,1
Can't wait for 2017 when we'll get the 2018 announcement date for No Man's Sky !    @hellogames,1,1,1,1,1,1,1,1,1,1,1
I love getting woke up at 630 when I don't have to be at work for another 1.5 hours,1,1,1,1,1,1,1,1,1,1,1
"Btw, Dodger fans, be sure to blame Mattingly for that last play.",1,0,0,0,0,0,0,1,0,0,0
LOL dat awkward moment when you accidentally squirt your stress-relief soap in ya eyes and start crying,1,1,1,1,1,1,1,1,1,1,1
LOL dat awkward moment when you accidentally squirt your stress-relief soap in ya eyes and start crying,1,1,1,1,1,1,1,1,1,1,1
I love how sharing and connected my family is,1,0,0,0,0,0,0,0,0,0,0
@HP Yea! great product! If you want to lose all your data in a year and be forced to pay to restore it,1,1,1,1,1,1,1,1,1,1,1
Let's be honest...Iran IS a bad idea. Let's give them weapons and then act completely surprised when they use them on us!,1,1,1,1,1,1,1,1,1,1,1
It's 9 o'clock and I'm having a fucking wonderful day,1,0,0,0,0,0,0,0,0,1,0
i have to say to my mum that i'm gonna get the tattoo on thursday...she will be so happy,1,1,1,1,1,1,1,1,1,1,1
Excited to go back to school!!!,1,0,0,0,0,0,0,0,0,0,0
Don't you just love it when you click on the 'open in app' option and it takes you to the App Store  but you have the app😡,1,1,1,1,1,1,1,1,1,1,1
Can't find my where's wally costume. Am looking everywhere for it,1,1,1,1,1,1,1,1,1,1,1
Because we have such a problem in Canada with fake voters. Sooooo many voters just trying to fraud.,1,1,1,1,1,1,1,1,1,1,1
Just had to break up a cat fight. Having four cats is hell-a fun!,1,1,1,1,1,1,1,1,1,1,1
Oh goody they're gonna talk about That oughta be calm and reasonable.,1,1,1,1,1,1,1,1,1,1,1
Don't you just love two faced people??,1,1,1,1,1,1,1,1,1,1,1
"Yeah, I totally haven't been listening to podcasts and play ing pokemon tcg online all day. XD @DansTokuRants @TheGRIDPR",1,1,1,1,1,1,1,1,1,1,1
The fact that surgery was the one that made my shoulder worse just makes this day even better,1,1,1,1,1,1,1,1,1,1,1
Your really got me by throwing gum on my car haha let me go cry myself to sleep,1,1,1,1,1,1,1,1,1,1,1
Love reading your tweets. So informative. How can I not know your daily stats of people who followed/unfollowed you? @Nonda_SOADian,1,1,1,1,1,1,1,1,1,1,1
Wow first book is the bible. Let me go ahead and vote for trump because of that!,1,1,1,1,1,1,1,1,1,1,1
I'm so excited to go outside when I get off and crawl around to change my car tire,1,1,1,1,1,1,1,1,1,1,1
Hahahahah I sure know how to pick the right guys man go me,1,1,1,1,1,1,1,1,1,1,1
Im still reeling from the deaths of those 2 characters who only had 2 secs of screentime!,1,1,1,1,1,1,1,1,1,1,1
It's so refreshing seeing people smoke after they workout.,1,1,1,1,1,1,1,1,1,1,1
Trump May Be Running Out of Time for Third Party Bid http://t.co/0U8fARxC7q,0,0,0,0,0,0,0,0,0,0,0
Democrats Think Hillary Clinton Is Their Best Shot To Win The White House http://t.co/MGD0IDA4x5,0,0,0,0,0,0,0,0,0,0,0
Watching Trump's speech but mainly cause there's a girl in the lower right corner of the TV screen who's kinda cute,0,0,0,0,0,0,0,0,0,0,0
Every year it takes less time to fly across the ocean and more time to drive to work. - Joe Moore,0,1,1,1,1,1,1,1,1,1,1
Japanese Bookseller Buys Almost Every Copy Of Famous Author's New Book http://t.co/NDuPJHIYn5,0,0,0,1,0,0,0,0,0,1,0
"""I know better than you what is on the path before you, and I stand ready to help- every step of the way.""",0,0,0,0,0,0,0,0,0,0,0
European stock markets are tumbling as they open http://t.co/zg7YMAXofS,0,0,0,0,0,0,0,0,0,0,0
I need to learn to fly so I don't need to rely on @Translink_NI stupid buses. Twice I've had to fork out on taxis :(,0,1,1,1,1,1,1,1,1,0,1
@fox25gene amazon deliveries in one hour?. They obviously don't watch the Boston traffic reports. ,0,1,1,1,1,1,1,1,1,1,1
@Original_GESHBA please open a bottle of @WineryatBullRun. This class is looong,0,1,0,1,0,0,1,0,0,1,1
@fox25gene amazon deliveries in one hour?. They obviously don't watch the Boston traffic reports. ,0,1,1,1,1,1,1,1,1,1,1
It's Looks Like ima have to Hop bak On My Twitter lol I Kinda Miss Yall Nights,0,0,0,0,0,0,0,0,0,0,0
"Going to start using twitter!  Ekk,  I am so behind on the twitter train",0,0,0,0,0,0,0,0,0,0,0
@spoonter not sure what in your bar at home but definitely not taking a drink you made unless in front of me,0,0,0,0,0,0,0,0,0,0,0
Hi Seb Gale! Thanks for the Look forward to your Have a great day!,0,0,0,0,0,0,0,0,0,0,0
Just discovered @JamieLaing_UK happy hour before uni 😳,0,0,0,0,0,0,0,0,0,0,0
I just updated..tweet activity is interesting.. +,0,0,0,0,0,0,0,0,0,0,0
Trump is taking American politics back to the heydays of mudslinging even attacking members of his own party,0,0,0,0,0,0,0,0,0,0,0
Watch Lady Gaga in Haunting New 'American Horror Story' Trailer: Lady Gaga's appearance in the trailer ... http://t.co/wXzzPXzhx8,0,0,0,0,0,0,0,0,0,0,0
"On CP24 Live at 10-11:30: A stabbing at a Toronto school, possible changes to the taxi industry and cooler temps on the way.",0,0,0,0,0,0,0,0,0,0,0
During a drug test Paula Radcliffe was found to have 4 inch of crack in her knickers 😂😂,0,0,1,1,1,1,1,1,1,1,0
"London busses are bullshit, 4 busses past me cause the were full.",0,0,0,0,0,0,0,0,0,0,0
Compare student achievement from various states with how much they spend per pupil. https://t.co/kSXpd4bq2P,0,0,0,0,0,0,0,0,0,0,0
Within a span of 10 min my lit. professor compared life to a house fly and explained how McDonald's is controlling society.,0,0,0,0,0,0,0,0,0,0,0
My mom didn't like it when i explained to her what my deviant behavior class was about,0,0,0,0,0,0,0,0,0,0,0
"#Drugs ""continue to increase poison, organism/parts of organism will die. http://t.co/8lVnnLma4D ",0,0,0,0,0,0,0,0,0,0,0
Watch hella ppl NOT gonna b sleeping before the first day of school... like wtf? We all dont make sense,0,1,1,0,1,1,1,1,1,0,1
Ive stayed home sober all weekend!!!! Yay,0,1,1,1,1,1,0,1,1,1,1
WHERE IS PEACE?  http://t.co/1uDlgj3Cmd ,0,0,0,0,0,0,0,0,0,0,0
When u r in like @killthenoise u gunna love all kind of sounds!!,0,0,0,0,0,0,0,0,0,0,0
Ain't no money like dope money! @aartinagar1997,0,0,0,0,0,0,0,0,0,0,0
#late yikes! Galle Rally,0,0,0,0,0,0,0,0,0,0,0
"Why is it that on a day when u need to be up early, the 'alarm clock dog' who wakes at 5.24am without fail decides to lie in til 6?? x",0,1,1,1,1,1,1,1,1,1,1
When you're running late so you take a cab and then get stuck in bumper to bumper traffic almost immediately.,0,1,1,1,1,1,1,1,1,1,1
Citizen: board must take responsibility for hiring string of bad superintendents. @ABQJournal,0,0,0,0,0,0,0,0,0,0,0
"I think that @GalwayHunter and @AdoringFlame are at Woodstock, listening to Jimy Hendrix. Cool!",0,0,0,0,0,0,0,0,0,0,0
@KatiePavlich @local_onthe8 You are dropped to the early debate in the next cycle. Gives you an incentive to do well.,0,0,0,0,0,0,0,0,0,0,0
"Thank-You @CNN for reorganizing a more meaningful, fair, and trustworthy debate criteria for the this month",0,0,1,1,1,1,1,0,1,1,0
@ My Little Brother Football Game! He scored two points...,0,0,0,0,0,0,0,0,0,0,0
"Every day I wake up and I'm like today is the day, I'm purposely going to bed early tonight. Well, here we are.",0,1,1,1,1,1,1,1,1,1,1
Listening to Dr Dre brings out so many memories.,0,0,0,0,0,0,0,0,0,0,0
School traffic I have NOT missed you!!,0,1,1,1,1,1,1,1,1,1,1
Still waiting on :),0,0,0,0,0,0,0,0,0,0,0
University of Texas moves statue of Confederate president Jefferson Davis http://t.co/ImGr11CNrc,0,0,0,0,0,0,0,0,0,0,0
Pfft even if Madrid and UTD missed the deadline they will let it go through no problem. Clubs are too big.,0,0,0,1,0,0,0,0,0,1,1
"#AurariaCampus . 10 min. to drive to campus from Arvada, 20 min. to get through a single traffic light into a parking lot.",0,1,1,1,1,1,1,1,1,1,1
@StagecoachEMid what the hell is going on with no 2 service. Publishing an alternate route then ignoring it is not cool,0,0,0,0,1,0,0,1,0,0,0
Lost my phone  yesterday and still haven't found it. Turns out I'm kinda liking not having one.,0,1,1,0,1,1,1,0,1,0,1
I don't know how I stay up so late and then wake up at 7:30...,0,0,0,0,0,0,0,0,0,0,0
my brothers moving into the dorms today,0,0,0,0,0,0,0,0,0,0,0
